district,elevation,monthly_rainfall_mm,avg_temp_c,soil_nitrogen,soil_phosphorus,soil_potassium,soil_ph,fertilizer_type,drainage_quality,yield_mt_per_hec,recorded_date
Badulla,High,104.6,15.3,47.6,22.9,24.7,5.2,Combo,Fair,0.754,1806-03-09
Ratnapura,Low,223.3,32.7,54.3,23.8,41.2,5.0,Chemical,Poor,0.845,1806-02-07
Kandy,Mid,98.1,21.8,24.4,36.7,23.1,5.5,Chemical,Fair,0.685,1806-01-08
Galle,Low,220.4,27.3,31.6,39.1,23.4,4.9,Organic,Poor,0.678,1805-12-09
Kandy,Mid,273.5,24.2,24.9,26.8,32.3,5.3,Chemical,Poor,0.673,1805-11-09
Galle,Low,283.7,24.4,49.4,20.6,57.5,5.3,Organic,Good,0.833,1805-10-10
Matale,Mid,104.3,27.2,78.4,17.6,41.7,5.5,Chemical,Poor,1.089,1805-09-10
Badulla,High,162.5,24.7,41.0,14.9,36.6,4.6,Organic,Fair,0.723,1805-08-11
Kandy,Mid,163.6,19.0,54.2,20.9,40.9,4.9,Chemical,Poor,1.118,1805-07-12
Kalutara,Low,175.0,25.9,67.9,26.9,26.1,4.4,Chemical,Poor,1.274,1805-06-12
Matale,Mid,164.1,25.2,29.9,26.3,36.1,5.5,Chemical,Fair,0.809,1805-05-13
Kegalle,Mid,120.5,22.4,65.6,25.2,35.5,4.8,Organic,Poor,1.006,1805-04-13
Kalutara,Low,170.2,32.2,57.2,16.7,17.0,4.7,Combo,Poor,0.809,1805-03-14
Badulla,High,183.2,19.5,57.8,15.0,19.2,5.0,Chemical,Good,1.08,1805-02-12
Ratnapura,Low,189.0,29.6,42.6,33.8,46.3,4.8,Organic,Poor,0.802,1805-01-13
Galle,Low,292.6,29.1,36.9,11.8,56.1,4.8,Chemical,Good,0.642,1804-12-14
Badulla,High,131.7,18.5,48.0,20.4,43.5,5.0,Organic,Good,0.774,1804-11-14
Nuwara Eliya,High,267.9,17.1,27.9,34.2,52.3,4.8,Combo,Fair,0.868,1804-10-15
Kalutara,Low,227.9,32.6,71.4,10.7,24.2,4.9,Combo,Good,0.949,1804-09-15
Galle,Low,286.6,28.0,35.8,33.1,46.2,5.3,Combo,Good,0.838,1804-08-16
Nuwara Eliya,High,278.6,17.5,31.8,22.3,35.2,5.0,Combo,Good,0.722,1804-07-17
Kalutara,Low,200.2,30.1,65.6,31.1,31.3,4.7,Combo,Poor,1.263,1804-06-17
Matale,Mid,136.2,24.6,46.2,33.4,32.8,5.3,Chemical,Poor,1.0,1804-05-18
Badulla,High,158.3,22.7,24.8,21.0,55.9,4.9,Chemical,Poor,0.868,1804-04-18
Kegalle,Mid,252.0,25.1,73.7,31.7,38.6,5.2,Chemical,Fair,1.391,1804-03-19
Nuwara Eliya,High,128.0,12.9,37.5,37.6,38.2,4.7,Combo,Poor,0.782,1804-02-18
Ratnapura,Low,338.5,25.7,50.4,27.0,44.1,4.8,Organic,Poor,0.652,1804-01-19
Nuwara Eliya,High,247.6,15.5,78.1,17.1,50.9,5.0,Organic,Good,1.024,1803-12-20
Kegalle,Mid,285.2,30.8,63.8,19.2,55.3,5.1,Combo,Fair,0.968,1803-11-20
Badulla,High,218.7,22.2,65.6,33.3,25.4,5.2,Organic,Poor,1.211,1803-10-21
Ratnapura,Low,291.8,23.8,74.3,28.6,38.8,4.9,Combo,Fair,1.403,1803-09-21
Kalutara,Low,338.6,23.1,76.5,27.3,33.3,4.7,Chemical,Poor,1.093,1803-08-22
Badulla,High,245.8,16.7,49.9,28.2,28.6,5.2,Organic,Fair,0.778,1803-07-23
Kandy,Mid,207.3,24.8,67.6,28.7,17.2,5.0,Chemical,Fair,1.345,1803-06-23
Galle,Low,196.1,24.4,37.1,23.2,49.8,5.3,Organic,Fair,0.869,1803-05-24
Ratnapura,Low,221.9,28.2,44.5,34.6,42.0,5.1,Chemical,Poor,1.02,1803-04-24
Galle,Low,249.9,25.8,26.9,16.6,42.1,5.2,Organic,Fair,0.56,1803-03-25
Kandy,Mid,248.3,27.1,32.8,30.8,29.4,5.1,Organic,Fair,0.622,1803-02-23
Kalutara,Low,141.7,30.6,39.3,31.9,28.3,4.6,Chemical,Fair,0.7,1803-01-24
Matale,Mid,112.5,23.0,74.8,19.6,36.2,5.2,Organic,Good,1.031,1802-12-25
Galle,Low,165.8,27.9,43.5,13.7,44.4,5.0,Combo,Poor,0.915,1802-11-25
Nuwara Eliya,High,110.6,17.5,54.0,25.7,42.8,4.8,Chemical,Poor,0.95,1802-10-26
Kalutara,Low,272.5,31.0,30.6,38.4,33.2,4.9,Chemical,Good,0.626,1802-09-26
Badulla,High,134.2,22.1,43.4,21.0,33.9,4.8,Combo,Good,1.038,1802-08-27
Kandy,Mid,171.5,20.2,70.4,12.0,40.1,5.2,Chemical,Good,1.335,1802-07-28
Kegalle,Mid,273.8,29.5,22.1,11.1,49.9,4.8,Chemical,Poor,0.496,1802-06-28
Badulla,High,196.0,21.2,54.7,27.3,28.2,5.1,Combo,Poor,1.437,1802-05-29
Kandy,Mid,276.7,22.0,36.6,19.2,26.3,5.0,Combo,Good,0.844,1802-04-29
Matale,Mid,258.8,21.5,74.0,14.8,44.0,5.2,Combo,Poor,1.523,1802-03-30
Matale,Mid,96.7,28.2,56.2,30.1,55.6,5.4,Organic,Good,0.773,1802-02-28
Kalutara,Low,297.2,29.8,41.2,25.7,23.0,4.7,Combo,Fair,0.66,1802-01-29
Kegalle,Mid,235.2,28.0,60.0,14.0,31.3,4.8,Chemical,Fair,0.964,1801-12-30
Kegalle,Mid,268.8,25.9,28.2,35.4,27.0,5.2,Organic,Poor,0.587,1801-11-30
Ratnapura,Low,216.6,24.7,45.3,38.0,57.7,5.2,Chemical,Poor,1.324,1801-10-31
Galle,Low,309.0,24.9,73.8,23.8,56.7,5.3,Organic,Poor,0.987,1801-10-01
Kandy,Mid,143.5,22.9,64.2,32.6,38.9,5.0,Organic,Good,1.122,1801-09-01
Galle,Low,121.9,30.0,72.0,35.1,42.1,5.1,Organic,Fair,0.884,1801-08-02
Galle,Low,222.4,33.4,23.5,32.3,59.3,5.1,Organic,Poor,0.528,1801-07-03
Galle,Low,290.0,29.3,41.5,11.4,48.7,5.2,Combo,Good,0.719,1801-06-03
Galle,Low,141.8,29.0,38.8,32.8,42.5,5.0,Organic,Good,0.668,1801-05-04
Ratnapura,Low,329.9,32.8,37.7,24.1,30.2,5.3,Organic,Good,0.378,1801-04-04
Kegalle,Mid,129.9,28.8,63.5,24.1,42.4,4.8,Chemical,Fair,1.002,1801-03-05
Kandy,Mid,148.2,24.6,20.1,35.0,38.2,5.2,Organic,Fair,0.602,1801-02-03
Kalutara,Low,211.4,25.3,29.0,22.1,34.9,4.4,Organic,Good,0.661,1801-01-04
Kegalle,Mid,189.6,24.1,56.7,26.0,40.9,4.8,Combo,Good,1.432,1800-12-05
Ratnapura,Low,289.9,30.0,40.3,19.4,34.4,4.8,Combo,Good,0.668,1800-11-05
Galle,Low,318.7,24.5,65.9,22.8,24.6,4.9,Chemical,Fair,0.961,1800-10-06
Kandy,Mid,139.2,21.6,22.2,18.1,47.2,5.1,Organic,Good,0.591,1800-09-06
Galle,Low,151.3,32.5,60.0,14.9,54.3,5.2,Combo,Fair,0.932,1800-08-07
Kegalle,Mid,95.3,23.1,53.1,36.1,36.8,4.8,Combo,Good,1.154,1800-07-08
Kandy,Mid,276.2,21.0,27.3,28.6,35.2,5.1,Organic,Fair,0.619,1800-06-08
Nuwara Eliya,High,284.2,15.7,27.9,11.8,40.0,4.6,Chemical,Fair,0.525,1800-05-09
Nuwara Eliya,High,138.7,11.5,27.4,12.4,29.3,4.8,Chemical,Poor,0.422,1800-04-09
Badulla,High,105.8,15.9,21.9,13.8,27.3,5.1,Chemical,Poor,0.411,1800-03-10
Matale,Mid,102.1,27.8,46.5,11.7,35.7,5.5,Combo,Poor,0.742,1800-02-08
Kandy,Mid,89.6,26.3,57.1,26.8,32.5,5.3,Combo,Poor,0.956,1800-01-09
Kalutara,Low,274.1,32.7,77.7,17.3,30.9,4.6,Combo,Good,0.956,1799-12-10
Galle,Low,179.0,24.1,54.3,25.2,50.2,5.4,Combo,Fair,1.419,1799-11-10
Kegalle,Mid,133.8,27.1,45.6,24.5,18.2,5.1,Organic,Good,0.636,1799-10-11
Kegalle,Mid,216.3,24.4,50.7,20.3,57.1,5.3,Combo,Good,1.356,1799-09-11
Kandy,Mid,154.1,24.0,49.8,27.0,37.4,5.3,Chemical,Fair,1.094,1799-08-12
Ratnapura,Low,320.6,30.6,62.0,18.9,31.3,5.3,Chemical,Good,0.707,1799-07-13
Kalutara,Low,261.4,32.0,57.1,37.8,49.0,4.5,Organic,Fair,0.763,1799-06-13
Badulla,High,89.5,23.3,54.0,31.4,34.9,4.8,Combo,Poor,1.076,1799-05-14
Galle,Low,188.1,33.2,24.1,18.8,40.8,4.9,Combo,Poor,0.561,1799-04-14
Badulla,High,151.9,23.1,58.6,31.7,39.6,4.9,Organic,Fair,1.069,1799-03-15
Galle,Low,129.0,31.1,61.5,11.1,58.4,4.9,Organic,Fair,0.712,1799-02-13
Nuwara Eliya,High,172.5,15.0,30.3,10.1,24.9,4.7,Organic,Poor,0.443,1799-01-14
Kandy,Mid,119.7,23.5,66.7,25.1,53.8,5.3,Chemical,Fair,1.285,1798-12-15
Kalutara,Low,248.5,25.5,39.9,22.4,20.1,4.6,Chemical,Poor,0.79,1798-11-15
Ratnapura,Low,310.2,31.1,72.9,26.7,34.2,5.2,Chemical,Fair,0.856,1798-10-16
Badulla,High,112.6,15.2,53.8,12.5,57.7,5.1,Chemical,Poor,0.844,1798-09-16
Kegalle,Mid,243.8,27.7,60.8,18.0,26.8,4.9,Chemical,Poor,0.977,1798-08-17
Matale,Mid,80.3,26.2,56.6,25.1,59.0,5.3,Organic,Fair,0.767,1798-07-18
Nuwara Eliya,High,193.3,11.5,77.9,31.9,15.6,4.7,Organic,Good,0.89,1798-06-18
Matale,Mid,183.9,21.6,65.6,21.6,37.2,5.2,Organic,Fair,1.205,1798-05-19
Matale,Mid,147.2,26.6,39.1,10.9,46.7,5.3,Chemical,Good,0.786,1798-04-19
Galle,Low,299.7,32.9,49.0,33.2,44.5,5.3,Chemical,Good,0.685,1798-03-20
Galle,Low,308.1,28.7,65.6,33.9,57.4,4.9,Organic,Good,0.83,1798-02-18
Badulla,High,203.8,23.4,66.3,32.6,26.6,4.7,Combo,Poor,1.65,1798-01-19
Kegalle,Mid,204.1,27.0,42.2,23.0,45.4,5.2,Organic,Fair,0.821,1797-12-20
Badulla,High,59.7,17.6,63.0,11.9,56.6,4.8,Chemical,Fair,0.841,1797-11-20
Matale,Mid,232.7,20.1,63.3,31.8,54.5,5.0,Combo,Fair,1.609,1797-10-21
Galle,Low,284.0,24.0,21.4,22.5,15.9,5.3,Combo,Poor,0.548,1797-09-21
Badulla,High,174.6,22.2,59.2,10.9,40.6,4.9,Chemical,Fair,1.259,1797-08-22
Nuwara Eliya,High,251.1,19.3,49.1,21.2,39.4,4.6,Organic,Fair,0.836,1797-07-23
Badulla,High,130.4,16.7,71.8,17.5,43.6,4.6,Organic,Good,0.909,1797-06-23
Ratnapura,Low,226.1,25.3,41.4,13.8,32.2,5.1,Chemical,Fair,0.852,1797-05-24
Galle,Low,316.2,24.3,59.6,33.5,30.4,4.8,Chemical,Poor,0.992,1797-04-24
Ratnapura,Low,280.3,28.9,36.9,24.7,31.6,5.3,Organic,Good,0.539,1797-03-25
Kegalle,Mid,141.3,29.5,33.3,38.1,51.4,4.9,Chemical,Poor,0.813,1797-02-23
Galle,Low,243.0,24.2,66.8,36.6,32.5,5.2,Organic,Fair,1.133,1797-01-24
Nuwara Eliya,High,284.1,20.0,55.7,39.0,53.0,4.9,Combo,Good,1.341,1796-12-25
Badulla,High,184.9,16.1,78.6,23.2,34.2,4.6,Combo,Poor,1.468,1796-11-25
Kalutara,Low,338.2,32.5,45.3,16.5,53.9,4.5,Organic,Fair,0.444,1796-10-26
Galle,Low,221.2,32.5,45.9,13.6,26.4,4.9,Chemical,Fair,0.657,1796-09-26
Ratnapura,Low,243.7,28.7,73.6,36.0,36.4,5.0,Combo,Good,1.359,1796-08-27
Nuwara Eliya,High,298.3,20.1,22.8,32.3,45.5,4.7,Organic,Fair,0.578,1796-07-28
Kalutara,Low,151.7,28.5,75.3,13.9,26.6,4.6,Chemical,Good,1.072,1796-06-28
Kandy,Mid,104.0,23.4,46.0,36.8,26.9,5.3,Chemical,Poor,0.935,1796-05-29
Badulla,High,238.0,19.5,32.8,11.5,33.8,4.7,Combo,Poor,0.798,1796-04-29
Badulla,High,193.4,20.0,56.1,25.0,22.5,4.9,Chemical,Good,1.217,1796-03-30
Ratnapura,Low,239.7,25.0,33.1,14.4,40.0,5.1,Combo,Fair,0.849,1796-02-29
Kegalle,Mid,94.8,29.4,34.7,38.1,59.9,4.9,Organic,Poor,0.612,1796-01-30
Nuwara Eliya,High,274.7,13.1,53.7,25.4,27.8,4.8,Combo,Poor,0.824,1795-12-31
Kalutara,Low,144.6,24.0,71.3,26.6,33.6,5.0,Combo,Poor,1.471,1795-12-01
Kegalle,Mid,281.3,23.5,44.8,32.6,39.9,4.8,Organic,Fair,0.823,1795-11-01
Galle,Low,123.2,33.3,52.1,27.9,57.6,4.8,Combo,Fair,0.827,1795-10-02
Kegalle,Mid,104.4,27.5,69.6,21.2,27.4,4.8,Combo,Good,1.047,1795-09-02
Kandy,Mid,180.3,21.4,70.8,33.8,34.2,5.3,Combo,Good,1.76,1795-08-03
Kegalle,Mid,109.0,23.0,45.2,31.3,39.2,5.0,Organic,Fair,0.807,1795-07-04
Galle,Low,257.8,31.0,61.3,40.0,56.3,5.3,Chemical,Good,1.075,1795-06-04
Kandy,Mid,105.3,21.0,29.2,25.6,31.4,5.4,Chemical,Good,0.696,1795-05-05
Kegalle,Mid,189.7,28.0,58.0,16.1,30.7,4.9,Chemical,Fair,1.021,1795-04-05
Kandy,Mid,96.8,25.4,69.6,38.9,35.4,5.0,Organic,Poor,0.947,1795-03-06
Matale,Mid,63.5,24.3,23.8,19.6,54.2,5.2,Chemical,Fair,0.576,1795-02-04
Badulla,High,199.1,19.1,39.9,23.1,30.7,5.1,Chemical,Good,0.991,1795-01-05
Badulla,High,185.0,24.9,37.8,27.9,38.6,5.1,Organic,Fair,0.816,1794-12-06
Badulla,High,131.3,15.4,43.7,10.6,18.1,4.7,Organic,Good,0.504,1794-11-06
Ratnapura,Low,290.3,32.9,64.5,25.5,59.5,4.7,Chemical,Poor,0.84,1794-10-07
Kalutara,Low,226.7,32.6,40.8,31.9,36.4,4.6,Organic,Fair,0.609,1794-09-07
Kalutara,Low,259.3,23.8,50.4,16.9,55.1,4.8,Organic,Fair,0.896,1794-08-08
Matale,Mid,215.2,28.4,39.2,17.9,49.5,5.6,Chemical,Good,0.879,1794-07-09
Badulla,High,116.7,24.2,44.0,29.2,41.2,5.1,Combo,Good,1.022,1794-06-09
Galle,Low,293.1,32.8,34.7,22.4,54.1,5.3,Chemical,Good,0.567,1794-05-10
Matale,Mid,71.8,20.9,61.9,18.6,31.5,5.2,Combo,Fair,1.016,1794-04-10
Matale,Mid,91.8,27.9,32.2,15.7,24.6,5.1,Combo,Fair,0.545,1794-03-11
Kegalle,Mid,283.4,25.3,69.3,16.5,54.7,5.1,Organic,Fair,0.968,1794-02-09
Kalutara,Low,238.3,28.3,40.7,26.3,49.9,4.7,Chemical,Poor,0.9,1794-01-10
Kegalle,Mid,180.2,21.1,41.6,38.3,42.4,4.8,Combo,Fair,1.351,1793-12-11
Nuwara Eliya,High,215.8,11.7,24.1,31.4,30.8,4.7,Chemical,Good,0.578,1793-11-11
Kandy,Mid,117.0,22.6,73.6,23.6,44.5,5.3,Combo,Good,1.478,1793-10-12
Badulla,High,133.2,15.1,71.9,13.1,42.5,4.7,Chemical,Good,1.016,1793-09-12
Nuwara Eliya,High,114.3,14.9,36.9,26.4,44.8,4.7,Organic,Good,0.57,1793-08-13
Kegalle,Mid,140.3,29.6,70.0,10.3,52.1,5.2,Combo,Good,1.12,1793-07-14
Matale,Mid,188.3,27.1,27.9,30.0,40.9,5.2,Combo,Fair,0.899,1793-06-14
Ratnapura,Low,181.4,31.9,38.1,30.0,51.6,5.2,Organic,Poor,0.656,1793-05-15
Nuwara Eliya,High,118.9,20.2,22.8,26.1,59.6,4.7,Organic,Fair,0.629,1793-04-15
Galle,Low,235.9,28.0,65.3,39.8,26.8,5.2,Chemical,Good,1.209,1793-03-16
Matale,Mid,160.3,28.8,69.0,29.9,33.4,5.2,Organic,Poor,0.934,1793-02-14
Galle,Low,230.2,24.5,22.8,22.5,47.2,5.1,Organic,Fair,0.634,1793-01-15
Nuwara Eliya,High,160.5,11.1,27.6,13.4,26.1,4.9,Chemical,Poor,0.437,1792-12-16
Galle,Low,187.7,28.9,72.7,24.3,20.8,4.9,Organic,Poor,0.957,1792-11-16
Galle,Low,260.3,30.9,55.9,25.4,40.6,5.1,Organic,Good,0.71,1792-10-17
Nuwara Eliya,High,235.0,11.7,32.7,22.1,19.2,4.6,Organic,Good,0.437,1792-09-17
Nuwara Eliya,High,244.7,13.9,71.1,11.7,46.0,4.5,Chemical,Poor,1.022,1792-08-18
Nuwara Eliya,High,220.1,15.4,42.4,16.7,29.6,4.5,Combo,Good,0.855,1792-07-19
Kegalle,Mid,276.1,27.1,66.9,31.4,48.6,5.2,Organic,Poor,0.955,1792-06-19
Kegalle,Mid,182.4,22.1,32.6,32.1,36.1,5.1,Organic,Fair,0.848,1792-05-20
Kalutara,Low,329.1,25.0,35.5,29.5,51.3,4.9,Organic,Fair,0.601,1792-04-20
Galle,Low,285.9,30.0,52.1,35.1,57.7,4.8,Organic,Poor,0.745,1792-03-21
Galle,Low,311.2,29.7,46.8,23.3,33.5,5.1,Organic,Poor,0.542,1792-02-20
Nuwara Eliya,High,242.1,17.6,71.7,25.9,18.8,5.0,Organic,Poor,0.981,1792-01-21
Galle,Low,143.0,32.2,61.9,27.7,36.1,5.1,Chemical,Fair,0.859,1791-12-22
Kegalle,Mid,126.1,30.9,31.2,32.1,51.4,4.7,Chemical,Good,0.668,1791-11-22
Nuwara Eliya,High,101.4,14.4,47.4,11.0,39.0,5.0,Organic,Fair,0.526,1791-10-23
Nuwara Eliya,High,262.2,20.0,40.8,16.1,50.3,5.0,Organic,Fair,0.753,1791-09-23
Matale,Mid,258.2,20.5,24.2,39.4,42.4,5.5,Organic,Poor,0.708,1791-08-24
Kandy,Mid,254.5,28.6,64.5,28.7,34.3,5.5,Chemical,Fair,1.054,1791-07-25
Badulla,High,156.2,20.0,63.3,38.3,59.5,5.0,Organic,Fair,1.241,1791-06-25
Badulla,High,210.7,17.0,48.0,15.9,49.1,5.1,Combo,Fair,1.126,1791-05-26
Badulla,High,245.7,19.1,50.2,12.5,42.8,4.7,Combo,Good,1.085,1791-04-26
Kalutara,Low,260.4,32.5,58.1,33.7,55.7,4.5,Chemical,Fair,0.921,1791-03-27
Matale,Mid,162.7,28.3,51.5,23.1,41.5,5.0,Organic,Poor,0.789,1791-02-25
Galle,Low,242.1,24.9,41.1,25.6,59.0,4.8,Chemical,Good,1.067,1791-01-26
Kandy,Mid,91.8,25.7,26.6,19.6,58.4,5.2,Chemical,Good,0.658,1790-12-27
Badulla,High,191.3,20.0,55.4,15.2,56.9,4.6,Organic,Poor,1.068,1790-11-27
Ratnapura,Low,242.2,26.1,66.5,16.5,47.1,5.3,Chemical,Fair,1.202,1790-10-28
Badulla,High,163.5,18.3,26.9,29.7,29.1,5.1,Combo,Poor,0.81,1790-09-28
Galle,Low,143.9,25.5,66.2,28.4,49.4,5.2,Combo,Good,1.412,1790-08-29
Ratnapura,Low,289.5,32.9,47.7,17.8,58.9,4.8,Combo,Poor,0.731,1790-07-30
Badulla,High,76.9,16.5,41.6,22.2,20.1,4.7,Combo,Good,0.641,1790-06-30
Matale,Mid,60.8,26.4,28.9,37.5,29.8,5.3,Combo,Poor,0.63,1790-05-31
Nuwara Eliya,High,224.7,11.0,76.6,34.9,40.3,4.8,Combo,Good,1.216,1790-05-01
Kalutara,Low,143.6,25.2,60.5,39.9,40.5,4.9,Organic,Poor,1.034,1790-04-01
Ratnapura,Low,184.5,25.4,70.2,11.7,48.5,5.3,Combo,Good,1.485,1790-03-02
Badulla,High,216.8,21.8,49.9,14.4,27.2,4.6,Chemical,Poor,1.098,1790-01-31
Galle,Low,312.1,29.4,72.5,19.5,57.9,5.2,Chemical,Poor,0.957,1790-01-01
Kegalle,Mid,242.8,24.5,61.3,26.4,38.7,5.1,Combo,Fair,1.37,1789-12-02
Kegalle,Mid,187.4,22.7,40.4,31.2,21.4,5.0,Combo,Fair,1.147,1789-11-02
Kandy,Mid,83.9,20.0,64.7,38.6,40.8,5.1,Chemical,Good,1.147,1789-10-03
Matale,Mid,110.1,24.1,70.9,24.4,16.8,5.3,Organic,Fair,0.895,1789-09-03
Galle,Low,214.6,32.6,53.7,33.8,32.9,5.1,Chemical,Fair,0.901,1789-08-04
Kandy,Mid,235.9,25.3,40.1,24.2,50.0,5.4,Organic,Fair,0.813,1789-07-05
Nuwara Eliya,High,269.0,11.5,79.6,38.7,35.1,4.9,Combo,Good,1.142,1789-06-05
Ratnapura,Low,274.8,25.3,30.5,28.0,42.9,5.0,Combo,Fair,0.841,1789-05-06
Badulla,High,173.0,17.2,79.4,25.8,15.5,5.1,Organic,Fair,1.061,1789-04-06
Badulla,High,237.5,21.1,52.9,18.4,29.9,4.9,Chemical,Poor,1.106,1789-03-07
Badulla,High,122.0,24.7,32.3,27.9,48.5,4.8,Combo,Fair,0.904,1789-02-05
Matale,Mid,95.4,28.4,64.3,31.1,39.0,5.1,Chemical,Fair,0.938,1789-01-06
Kandy,Mid,123.6,20.1,21.1,28.0,50.5,5.3,Chemical,Poor,0.732,1788-12-07
Nuwara Eliya,High,121.0,13.7,37.4,26.4,32.8,4.8,Chemical,Fair,0.632,1788-11-07
Galle,Low,134.9,30.5,25.8,34.7,39.8,5.0,Combo,Poor,0.672,1788-10-08
Badulla,High,122.7,21.6,27.5,26.3,32.2,4.8,Combo,Good,0.801,1788-09-08
Matale,Mid,98.0,21.2,66.9,30.8,30.5,5.3,Organic,Poor,0.946,1788-08-09
Kandy,Mid,151.7,23.0,39.9,30.3,24.8,5.3,Combo,Good,1.046,1788-07-10
Ratnapura,Low,257.6,28.4,78.1,10.4,20.6,4.8,Combo,Poor,1.123,1788-06-10
Nuwara Eliya,High,159.6,14.0,72.8,13.4,32.6,4.6,Organic,Good,0.83,1788-05-11
Ratnapura,Low,250.8,29.8,66.0,33.2,45.3,4.8,Combo,Good,1.2,1788-04-11
Kalutara,Low,231.1,26.1,43.5,27.7,54.0,4.6,Combo,Good,1.164,1788-03-12
Galle,Low,311.4,28.4,62.1,38.2,39.3,5.0,Chemical,Good,0.951,1788-02-11
Kalutara,Low,182.5,24.6,30.8,30.0,22.7,5.0,Chemical,Good,0.832,1788-01-12
Galle,Low,292.4,33.7,54.5,32.4,17.9,5.0,Chemical,Good,0.627,1787-12-13
Kalutara,Low,222.2,24.9,37.8,11.7,18.4,4.6,Chemical,Fair,0.731,1787-11-13
Galle,Low,155.8,25.3,39.9,18.5,19.1,4.8,Organic,Fair,0.623,1787-10-14
Ratnapura,Low,182.0,28.7,56.7,35.7,58.1,4.7,Combo,Fair,1.338,1787-09-14
Ratnapura,Low,277.6,25.7,44.6,35.3,49.4,5.2,Chemical,Fair,0.994,1787-08-15
Galle,Low,255.2,34.0,69.4,19.5,28.3,5.3,Combo,Good,0.868,1787-07-16
Badulla,High,51.9,18.2,21.2,24.6,43.5,5.0,Chemical,Good,0.485,1787-06-16
Matale,Mid,188.8,26.2,28.8,30.3,40.7,5.5,Organic,Poor,0.713,1787-05-17
Badulla,High,59.2,21.5,34.3,14.8,59.8,4.7,Organic,Fair,0.579,1787-04-17
Badulla,High,89.8,24.7,41.6,14.1,17.6,4.6,Chemical,Fair,0.621,1787-03-18
Ratnapura,Low,171.0,32.1,54.0,38.6,55.9,5.1,Combo,Fair,1.094,1787-02-16
Matale,Mid,214.9,29.6,57.1,24.3,26.2,5.6,Chemical,Fair,0.983,1787-01-17
Kegalle,Mid,137.0,21.3,59.8,14.4,56.2,5.0,Organic,Poor,1.013,1786-12-18
Kegalle,Mid,116.2,29.2,34.7,28.4,20.6,4.8,Organic,Good,0.487,1786-11-18
Nuwara Eliya,High,245.9,16.7,35.6,39.3,58.9,5.0,Organic,Good,0.809,1786-10-19
Kandy,Mid,93.7,23.5,39.3,19.7,39.4,5.5,Chemical,Poor,0.763,1786-09-19
Nuwara Eliya,High,196.2,17.4,28.1,30.5,22.2,5.0,Combo,Poor,0.834,1786-08-20
Badulla,High,80.6,23.0,65.3,34.9,22.7,5.1,Chemical,Poor,1.077,1786-07-21
Galle,Low,141.9,30.4,75.9,31.2,18.2,5.1,Combo,Poor,1.122,1786-06-21
Kandy,Mid,172.8,20.7,43.1,39.2,36.6,4.9,Organic,Poor,0.973,1786-05-22
Kandy,Mid,245.5,20.6,51.5,28.6,43.9,5.5,Combo,Good,1.306,1786-04-22
Nuwara Eliya,High,112.1,17.5,43.7,35.2,53.7,5.0,Chemical,Poor,0.941,1786-03-23
Kandy,Mid,160.9,23.6,78.5,14.2,57.4,5.5,Organic,Poor,1.259,1786-02-21
Kegalle,Mid,262.5,28.3,50.9,15.0,20.7,4.8,Chemical,Fair,0.748,1786-01-22
Galle,Low,154.4,33.2,41.8,20.5,23.4,4.9,Chemical,Poor,0.576,1785-12-23
Nuwara Eliya,High,215.5,13.2,77.8,19.0,38.6,4.7,Organic,Good,0.954,1785-11-23
Kandy,Mid,94.5,28.6,53.4,21.6,28.7,4.9,Combo,Fair,0.811,1785-10-24
Ratnapura,Low,165.6,30.0,74.1,13.8,50.0,5.1,Chemical,Fair,1.132,1785-09-24
Kegalle,Mid,217.7,27.3,55.5,37.4,39.4,4.7,Chemical,Good,1.223,1785-08-25
Kalutara,Low,269.3,25.9,53.9,37.6,19.6,4.7,Combo,Poor,1.089,1785-07-26
Ratnapura,Low,158.0,27.4,36.0,30.3,34.4,5.2,Organic,Poor,0.675,1785-06-26
Badulla,High,241.1,15.9,79.4,11.8,49.3,4.8,Combo,Poor,1.365,1785-05-27
Kegalle,Mid,129.1,28.8,66.2,30.9,20.7,5.3,Organic,Poor,0.796,1785-04-27
Kalutara,Low,246.3,32.1,47.7,13.7,59.9,4.4,Chemical,Good,0.767,1785-03-28
Matale,Mid,83.0,29.1,72.5,39.5,48.8,5.3,Organic,Poor,0.837,1785-02-26
Kandy,Mid,110.9,22.6,74.6,13.1,48.8,5.3,Chemical,Poor,1.277,1785-01-27
Galle,Low,274.3,24.7,52.2,24.1,27.8,4.9,Combo,Good,1.029,1784-12-28
Ratnapura,Low,330.5,25.7,55.9,31.5,25.2,5.1,Organic,Good,0.679,1784-11-28
Kandy,Mid,262.8,20.9,73.4,35.6,22.2,5.2,Chemical,Good,1.387,1784-10-29
Nuwara Eliya,High,262.4,18.0,52.7,12.6,51.8,4.7,Combo,Good,1.064,1784-09-29
Kandy,Mid,142.1,24.9,72.2,27.1,55.3,5.2,Combo,Fair,1.539,1784-08-30
Galle,Low,125.9,29.4,52.6,19.6,31.5,5.3,Combo,Poor,0.85,1784-07-31
Galle,Low,228.4,26.1,30.9,24.6,16.7,5.1,Organic,Fair,0.568,1784-07-01
Galle,Low,291.8,32.6,72.7,38.2,48.2,4.9,Combo,Poor,1.037,1784-06-01
Kegalle,Mid,175.9,27.0,62.0,32.2,43.2,4.8,Combo,Poor,1.385,1784-05-02
Kandy,Mid,210.8,24.9,79.5,15.7,36.2,5.1,Chemical,Good,1.499,1784-04-02
